title,address,date,rate_1h,rate_2h,rate_3h,rate_4h,rate_evening,rate_weekend
Qwest Field Parking - North Lot,201 King St,2013-06-20 09:11:48 -0700,$12.00,$12.00,$12.00,$12.00,$6.00,$6.00
Republic Lot,1407 Western Ave,2013-06-20 09:11:48 -0700,$7.38,$7.38,$10.65,$10.65,$8.20,same as above
Republic Lot,1407 Western Ave,2013-07-26 13:56:46 -0700,$7.38,$7.38,$10.65,$10.65,$8.20,same
Republic Lot,1407 Western Ave,2014-12-30 12:06:02 -0800,$7.38,$7.38,$10.65,$10.65,$8.20,Same as Evening
Republic Lot,1407 Western Ave,2015-03-27 14:25:22 -0700,$7.38,$7.38,$10.65,$10.65,$8.20,Same as Weekday
Seattle Steam Lot,1301 Western Ave,2013-06-27 16:46:06 -0700,$7.38,$7.38,$9.84,$17.21,$6.56 (Sun-W) / $9.84 (Th-Sat),same as above
Seattle Steam Lot ,1301 Western Ave,2013-06-20 09:11:48 -0700,$7.38,$7.38,$9.84,$17.21,$6.56 (Sun-W) / $9.84 (Th-Sat),same as above
Seattle Steam Lot ,1301 Western Ave,2014-08-14 11:39:10 -0700,$7.38,$7.38,$11.48,$15.58,$6.56 (Sun-W) / $9.84 (Th-Sat),same as above
Seattle Steam Lot ,1301 Western Ave,2014-12-30 12:06:02 -0800,$7.38,$7.38,$11.48,$15.58,$6.56 (Sun-W) / $9.84 (Th-Sat),Same as Evening
Seattle Steam Lot ,1301 Western Ave,2014-12-30 14:07:58 -0800,$7.38,$7.38,$11.48,$15.58,$6.56 (Sun-W) / $9.84 (Th-Sat),See Evening
Seattle Steam Lot ,1301 Western Ave,2015-03-27 14:25:22 -0700,$7.38,$7.38,$11.48,$15.58,$6.56 (Sun-W) / $9.84 (Th-Sat),Same as Weekday 
Securities Building,1904 Third Ave,2013-11-14 13:29:24 -0800,,,,,$7.00,$7.00
Securities Building,1904 Third Ave,2013-11-15 14:50:11 -0800,$6.00,$8.00,$10.00,$12.00,$6.00,$7.00
Securities Fourth Ave.,1913 Fourth Ave,2014-08-14 11:39:10 -0700,$6.00,$8.00,$10.00,$12.00,$6.00,$7.00
Securities Fourth Ave.,1913 Fourth Ave,2015-08-13 15:34:27 -0700,$8.00,$10.00,$12.00,$14.00,$7.00,$7.00
Securities Third Ave.,1904 Third Ave,2014-08-14 11:39:10 -0700,$6.00,$8.00,$10.00,$12.00,$6.00,$7.00
Securities Third Ave.,1904 Third Ave,2015-08-13 15:34:27 -0700,$8.00,$10.00,$12.00,$14.00,$7.00,$7.00
Seventh & Stewart,1700 Seventh Ave,2013-11-14 13:29:24 -0800,,,,,$7.00,$7.00
Seventh & Stewart,1700 Seventh Ave,2013-11-15 14:50:11 -0800,$8.00,$8.00,$13.00,$15.00,$7.00,$7.00
Sinking Ship Garage,515 2nd Ave,2013-06-20 09:11:48 -0700,$7.00,$12.00,$17.00,$20.00,$6.00 (Sun-Th) / $12.00 (Fri-Sat),$6.00
Sinking Ship Garage,515 Second Ave,2013-07-26 13:56:46 -0700,$7.00,$12.00,$17.00,$20.00,$6.00 (S-W) / $12.00 (Th-Sat),$6.00
Sinking Ship Garage,515 Second Ave,2014-07-03 10:02:12 -0700,$7.00,$12.00,$17.00,$20.00,as posted,$6.00
Sinking Ship Garage,515 Second Ave,2014-11-18 17:26:55 -0800,$7.00,$12.00,$17.00,$20.00,$10.00,$10.00
Sinking Ship Garage,515 Second Ave,2015-08-13 15:34:27 -0700,$10.00,$12.00,$14.00,$14.00,as posted,$8.00
Sinking Ship Garage,515 Second Ave,2015-11-18 13:11:47 -0800,$10.00,$12.00,$14.00,$14.00,$12.00,$12.00
Stadium Place Garage,530 Occidental Ave S,2013-07-09 19:19:44 -0700,$7.00,$10.00,$12.00,$14.00,$7.00,$10.00
Stadium Place Garage,530 Occidental Ave S,2013-10-23 11:11:07 -0700,$3.00,$6.00,$9.00,$12.00,same,same
Stadium Place Garage,530 Occidental Ave S,2014-12-30 12:06:02 -0800,$3.00,$6.00,$9.00,$12.00,Same as Weekday,Same as Weekday
U.S. Bank Centre / City Centre,1420 Fifth Ave,2013-11-14 13:29:24 -0800,$9.00,$12.00,$15.00,$19.00,$7.00,$7.00
Union Square,600 University St,2013-11-14 13:29:24 -0800,$9.00,$12.00,$15.00,$19.00,$7.00,$7.00
Waterfron Place #2,1101 Western Ave,2015-08-13 15:34:27 -0700,$6.00,$12.00,$18.00,$24.00,"$8 (Mon-Wed), $10 (Thurs-Sun)",Same as Weekday
Waterfront Place,1011 Western Ave,2013-06-20 09:11:48 -0700,$6.00,$10.00,$14.00,$16.00,same as above,same as above
Waterfront Place,1011 Western Ave,2013-07-26 13:56:46 -0700,$6.00,$10.00,$14.00,$16.00,same,same
Waterfront Place,1011 Western Ave,2014-12-30 12:06:02 -0800,$6.00,$10.00,$14.00,$16.00,Same as Weekday,Same as Weekday
Waterfront Place,1011 Western Ave,2015-08-13 15:34:27 -0700,$6.00,$10.00,$14.00,$16.00,N/A,Same as Weekday
Waterfront Place #2,1101 Western Ave,2015-09-03 11:03:53 -0700,$6.00,$12.00,$18.00,$24.00,"$8 (Mon-Wed), $10 (Thurs-Sun)",Same as Weekday
Watermark Garage,1100 Western Ave,2014-05-23 10:13:15 -0700,$3.00,$6.00,$9.00,$12.00,$5.00,same
Watermark Garage,1100 Western Ave,2014-12-30 12:06:02 -0800,$3.00,$6.00,$9.00,$12.00,$5.00,Same as Evening
Watermark Garage,1100 Western Ave,2015-03-27 14:25:22 -0700,$3.00,$6.00,$9.00,$12.00,$5.00,Same as Weekday
Watermark Garage,1108 Western Ave,2015-06-22 13:37:47 -0700,$3.00,$6.00,$9.00,$12.00,$5.00,Same as Weekday
Watermark Tower Garage,1100 Western Ave,2013-07-26 13:56:46 -0700,$3.00,$6.00,$9.00,$12.00,$5.00,same
Watermark Tower Garage,1108 Western Ave,2013-06-20 09:11:48 -0700,$3.00,$6.00,$9.00,$12.00,$5.00,same as above
West Edge,1500 Second Ave,2014-11-18 17:26:55 -0800,$7.00,$12.00,$13.00,$16.00,$7.00,$7.00
Western and Seneca Lot,1101 Western Ave,2013-07-26 13:56:46 -0700,$6.15,$11.89,$17.62,$19.67,$6.56 (M-W) / $8.20 (Th-Sun),same
Western and Seneca Lot,1101 Western Ave,2014-07-01 16:40:09 -0700,$8.00,$16.00,$24.00,$30.00,$8.00 (M-W) / $10.00 (Th-Sun),same
Western and Seneca Lot,1101 Western Ave,2014-12-30 12:06:02 -0800,$8.00,$16.00,$24.00,$30.00,$8.00 (M-W) / $10.00 (Th-Sun),Same as Evening
Western and Seneca Lot,1101 Western Ave,2014-12-30 14:07:58 -0800,$8.00,$16.00,$24.00,$30.00,$8.00 (M-W) / $10.00 (Th-Sun),See Evening
Western and Seneca Lot,1101 Western Ave,2015-03-27 14:25:22 -0700,$4.92,$9.84,$14.86,$19.78,$8.20,Same as Weekday
Western/Seneca Lot,1101 Western Ave,2013-06-20 09:11:48 -0700,$6.15,$11.89,$17.62,$19.67,$6.56 (M-W) / $8.20 (Th-Sun),same as above
Westlake Tower,1601 Fifth Ave,2013-11-14 13:29:24 -0800,$8.00,$12.00,$14.00,$16.00,$7.00,$7.00
